date,region,vehicle_type,traffic,category,shipment_volume,distance_km,fuel_cost,delivery_time_hr,transport_cost,on_time
2026-04-13,South,Truck,Medium,Grocery,37,40.660493477520376,7.297277435776009,2.535463043712558,93.05395520702275,False
2026-02-21,East,Truck,High,Home,38,25.449160969540102,4.103330243198892,2.5604359889128965,98.34895011384694,False
2026-04-03,North,Van,Medium,Home,29,21.437097202165237,2.0496283903300725,1.4441268778629,62.097427233679305,True
2026-01-15,East,Van,Medium,Grocery,32,18.31663740583229,2.53055938518354,1.445882745660969,54.93973399906052,True
2026-04-17,North,Truck,Low,Grocery,39,32.046446375923146,4.931411917799398,1.7020133262581618,75.0129880689737,True
2026-03-13,North,Van,Medium,Clothing,34,19.529602584626325,0.973450403105406,1.6062367651026763,60.57018442462415,True
2026-03-02,South,Van,Medium,Clothing,36,23.5474532307375,2.4706811754016047,1.827612134578583,66.61486569370082,True
2026-01-21,North,Bike,High,Clothing,43,18.24788829775232,0.8915047293015967,1.969110417195776,67.15237624554176,False
2026-04-13,North,Truck,High,Home,39,10.34216581186145,2.325982024668275,2.1089009768903977,54.84322423975243,False
2026-03-24,South,Truck,Medium,Clothing,34,15.035683850676026,1.926625988604619,1.5215167565348569,54.683270657082026,True
2026-03-28,West,Bike,Low,Electronics,40,19.48225463371776,0.9218293367192544,0.9356588044271908,54.62006219590656,True
2026-03-16,North,Truck,High,Electronics,32,21.63070652762734,3.923197231009444,2.146191650053548,72.33425022360304,False
2026-03-16,North,Bike,High,Clothing,33,22.025184666688435,1.388868996393745,2.190052337142788,71.98427098277051,False
2026-03-29,East,Truck,Low,Electronics,43,23.19972269533114,3.5188014465384163,1.6341689375493869,68.4824785305129,True
2026-04-27,West,Van,Low,Home,36,19.60181132864092,1.7177716395944314,1.1755193881848758,49.89053729076764,True
2026-04-10,South,Van,High,Electronics,38,36.14213713351565,3.953209976112907,3.09743041233314,95.44453377540664,False
2026-04-14,South,Truck,Low,Home,32,32.53185707871284,5.029252332752269,2.080829128512512,67.45639689249481,True
2026-01-24,East,Truck,High,Grocery,31,22.784016595282456,3.1859994029255416,3.217723460807804,71.1173712503049,False
2026-01-03,North,Van,Medium,Grocery,41,26.28832451766897,2.438143130757702,1.7643251213721378,77.51658446615228,True
2026-01-22,West,Van,Low,Grocery,38,20.651205826923405,1.8018641603266703,1.366504054761621,65.87826478974311,True
2026-02-22,West,Van,High,Grocery,43,3.0,0.5,1.9772604842830863,46.36230032048502,False
2026-01-02,North,Van,Medium,Electronics,27,24.184437116334223,2.9596810892026446,1.3226630638704904,70.422831206783,True
2026-03-29,North,Truck,Medium,Clothing,38,26.750529251260943,4.506059045324643,1.7976126087992204,72.60829552904215,True
2026-04-18,West,Van,Low,Electronics,39,9.486044177637954,1.417088144025592,0.8907082246438527,41.07752962571402,True
2026-01-30,South,Truck,Low,Home,44,28.494699622751423,4.418703238472307,1.6238755945068035,87.95057522788335,True
2026-02-07,South,Truck,Medium,Electronics,35,21.47480989849672,3.219412579756921,1.946594244368748,69.22175690199596,False
2026-01-02,East,Truck,Medium,Electronics,39,27.04140348571196,4.0904455908342525,2.2902175356805263,68.96925614552657,False
2026-03-05,East,Bike,Medium,Home,38,21.746412173669228,1.655548377359556,1.7611352647255971,57.67361926152236,True
2026-03-01,West,Van,High,Grocery,49,35.258590268041644,2.8830854582462493,2.8241625835262667,94.04546767014668,False
2026-01-21,West,Bike,Medium,Grocery,38,26.03605938525678,1.2004645196782828,1.641713211997529,78.95523457869133,True
2026-02-02,West,Van,Low,Grocery,41,33.02174812804807,3.067978021068059,1.0672451180225142,80.90740536861836,True
2026-03-17,East,Van,Medium,Clothing,45,33.76253527957451,4.157015600320107,2.107288702662398,75.81183057153406,True
2026-02-27,West,Bike,High,Home,35,13.923998465204305,0.5509640300350335,2.207715400119553,58.49573050511713,False
2026-01-22,East,Van,High,Home,36,17.34884816980967,1.0854340818821169,2.8858974653941805,64.95870691196222,False
2026-04-18,East,Van,Medium,Electronics,34,28.064496144536303,3.047312734187367,1.717858030297533,62.941632126703865,True
2026-03-30,North,Bike,Low,Clothing,39,20.71016444617645,0.9725076568374432,0.861474977124195,61.14158565182445,True
2026-02-18,West,Van,Low,Grocery,41,21.85253907669334,2.043898639594568,1.4192781028129424,58.28459553091805,True
2026-04-01,West,Bike,Medium,Clothing,36,35.579083399535484,1.6598352064478292,2.207266456014416,78.04984721533842,True
2026-02-28,East,Van,High,Home,39,21.20670259627137,1.9119356219861308,2.6634808049181724,79.81292692504762,False
2026-02-11,West,Bike,Medium,Home,36,15.279635865762758,1.159232114302442,1.3708647521730315,50.47542458800764,True
2026-04-02,East,Truck,High,Electronics,28,16.495799985279646,2.657553312669375,2.960341221635031,58.07206629990205,False
2026-03-01,North,Truck,High,Electronics,50,43.64120851073431,6.67530272913008,3.309065817815241,106.24095876130478,False
2026-03-21,North,Bike,Low,Home,43,22.396024676532868,0.7375738626284564,1.2827995040068074,64.76503200324747,True
2026-01-15,North,Van,Medium,Grocery,37,11.721770203038806,1.1547838757945104,1.2319336395388591,59.36029684998952,True
2026-03-03,South,Bike,Low,Grocery,35,8.07487264215065,0.5614005312382976,1.2411167821712108,34.33511824415385,True
2026-03-03,North,Van,Low,Clothing,40,18.37827021593298,2.0641128743897337,0.6471783135109257,56.15230126245315,True
2026-02-16,East,Truck,High,Home,40,22.231300925153548,3.518249615745096,3.1293276505628853,74.26282582912,False
2026-03-03,South,Van,Medium,Home,47,32.542563357849055,3.001802452501763,2.165150450752757,81.2570144688685,False
